"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000115306",10657,10887,15588,8916,12259,15634,10242,12822
"ENSG00000122026",11822,11590,13559,7007,13252,13721,9514,8934
"ENSG00000107581",8172,8326,8825,6086,10670,14358,7895,8898
"ENSG00000134531",3736,4852,4569,5199,4036,10497,3691,8168
"ENSG00000172757",6493,7204,7868,5718,6820,12883,5042,5905
"ENSG00000134871",2917,5145,3264,2824,4344,9919,2239,4565
"ENSG00000132386",11094,7821,10100,5288,12216,12903,10209,9810
"ENSG00000164587",10843,10356,10200,5272,10783,12837,7443,7642
"ENSG00000204525",7964,6597,8561,4225,10235,11386,5967,5634
"ENSG00000072952",3417,2905,7523,5872,4168,10306,4755,5360
"ENSG00000269378",6381,6457,10437,7778,9358,13514,7914,10417
"ENSG00000020181",9153,5457,9560,3956,9105,11219,9402,7425
"ENSG00000169100",9099,8346,8158,3435,8804,10353,5543,4965
"ENSG00000187109",10605,13250,11781,9970,12510,16403,8972,13866
"ENSG00000116005",5637,6564,9760,7819,9103,12812,6711,10370
"ENSG00000008394",2722,2822,2967,1948,7202,8116,2520,2678
"ENSG00000197694",9878,10446,13292,8065,11461,15390,9608,12889
"ENSG00000112902",4299,2697,3067,1134,7599,8046,4861,4128
"ENSG00000075420",4200,5512,4889,4415,6097,10938,3865,7693
"ENSG00000109472",11294,8196,12321,5903,6538,6357,9614,8807
"ENSG00000068697",8932,6885,9481,4746,11514,11576,8497,6917
"ENSG00000002586",7507,7203,9501,6214,10973,12863,6834,7225
"ENSG00000140416",2431,3357,4383,3029,3733,9851,3307,3737
"ENSG00000135486",13247,13941,13474,8322,11423,15055,9682,10478
"ENSG00000154736",585,4871,2984,5544,1969,5109,793,6846
"ENSG00000140937",10485,6130,12656,6517,8175,11521,10418,10058
"ENSG00000067560",8212,7827,12108,7753,10619,14019,8096,8828
"ENSG00000105193",10090,10370,10806,4768,9096,11336,6956,6874
"ENSG00000197756",12163,12281,11576,6437,10123,12357,8087,8034
"ENSG00000137962",2116,3549,3963,4542,2607,6794,3012,8971
"ENSG00000182534",6066,5764,7543,4632,8129,12092,5679,6461
"ENSG00000111452",6831,8906,9369,7332,4075,9399,5482,11071
"ENSG00000106772",3641,5456,4636,4103,4326,8413,4816,10095
"ENSG00000123562",3537,5872,3642,4710,4197,10175,2909,5859
"ENSG00000164099",6245,4242,7741,3861,9425,10382,6541,5764
"ENSG00000152518",6729,9462,6091,6214,7070,12566,7020,10020
"ENSG00000136040",4004,3067,5209,2839,7044,8987,2813,2993
"ENSG00000105894",5215,2723,6692,2846,7624,5338,9525,6266
"ENSG00000065308",9723,9710,10219,7105,11266,14939,8476,9892
"ENSG00000096060",260,4652,381,3875,601,5493,154,4118
"ENSG00000177697",6524,6267,8728,5417,9067,12593,6638,7306
"ENSG00000154188",1382,1858,2540,1784,4135,8283,1708,2570
"ENSG00000071082",13290,12437,12897,7399,10859,13924,9611,9379
"ENSG00000170889",12190,11351,10503,5625,8188,10227,7379,7544
"ENSG00000176788",5433,4948,5331,2328,8094,9607,4561,4529
"ENSG00000164125",3286,7047,4463,5484,4304,9637,3154,7330
"ENSG00000115457",115,483,1758,2745,985,7031,436,2625
"ENSG00000086758",8409,7049,10165,4981,9903,12374,7376,8137
"ENSG00000171863",7723,7623,8704,4721,9437,11895,6047,6164
"ENSG00000013297",6494,1515,5298,1369,5198,1173,5335,1735
"ENSG00000008988",12982,11687,13055,6973,11456,13255,9469,9293
"ENSG00000198121",5500,7025,6118,5428,8540,11886,5644,8669
"ENSG00000197381",233,976,1131,2373,1018,7058,527,3262
"ENSG00000227063",11413,10452,11909,5738,11407,12114,8736,8198
"ENSG00000248527",10976,11521,15259,10428,13687,14950,9544,10163
"ENSG00000129824",4846,4155,4715,2513,5124,5399,0,2
"ENSG00000109099",7809,5300,8802,3933,9759,10145,6175,5966
"ENSG00000100979",8434,5808,8477,4048,9018,8921,5043,3923
"ENSG00000182197",6279,3550,8503,2317,7447,5992,6925,3242
"ENSG00000116132",7253,4073,8600,2920,8539,5612,5907,3375
"ENSG00000008256",1815,3053,3036,3707,2771,8634,2115,5313
"ENSG00000227051",6279,2581,7236,1855,7113,3453,6555,3194
"ENSG00000079819",7012,5901,10164,3838,9627,9883,7644,6517
"ENSG00000103196",780,5764,1167,4211,887,3763,720,5633
"ENSG00000150347",9623,8325,10503,7373,11748,14491,9275,11110
"ENSG00000139112",4147,5149,7978,5547,6812,10892,4451,7009
"ENSG00000189221",441,3707,575,3100,653,6384,227,3484
"ENSG00000183255",5647,5236,7951,5829,8087,11697,5537,8323
"ENSG00000112378",5726,4451,8337,5173,9461,10473,5861,5985
"ENSG00000197702",4678,4827,6102,4430,6189,10976,4212,5832
"ENSG00000149115",8165,8999,8257,5444,8609,12602,6002,7429
"ENSG00000075785",6995,6481,9889,5747,10044,12100,7171,7677
"ENSG00000153904",1250,1735,2650,3917,2069,7899,1620,3937
"ENSG00000178695",4746,830,4805,414,5321,1391,4411,606
"ENSG00000136478",1546,3201,2442,4131,2213,7590,2148,6288
"ENSG00000183853",6492,4705,7408,3971,9790,10155,6863,6336
"ENSG00000161013",5584,5325,5630,4125,7972,10910,4868,6021
"ENSG00000074527",1969,3052,5549,4167,1381,4481,3156,8190
"ENSG00000041982",3318,1037,7317,2925,2468,2221,6527,3678
"ENSG00000163431",2060,4465,4891,6294,3163,8704,3143,6255
"ENSG00000163931",9045,5141,5310,1977,7181,4390,4951,3535
"ENSG00000063177",9957,9400,9726,4222,9042,10363,6666,6732
"ENSG00000076513",4210,6164,6720,5719,5534,11000,4199,6932
"ENSG00000168214",7561,4019,9937,3604,6498,5652,7027,4171
"ENSG00000083845",10279,9963,10268,4659,8786,10405,6806,6951
"ENSG00000082641",8455,8661,12405,8512,10763,13893,8829,12128
"ENSG00000044115",7106,6407,9696,5627,8672,12397,7238,8018
"ENSG00000065978",11417,9910,12397,6807,11585,13198,9340,8559
"ENSG00000110880",6363,7257,9362,6028,7270,12593,6901,7986
"ENSG00000182670",7498,3833,9250,3883,8797,7782,7752,5364
"ENSG00000107623",6735,3622,5598,1465,2474,2965,7337,3176
"ENSG00000234745",3403,2362,6822,3399,6992,7666,3737,2905
